pred:0.113	real:0.21
pred:0.201	real:0.15
pred:0.289	real:0.13
pred:0.078	real:0.05
pred:0.028	real:0.07
pred:0.073	real:0.01
pred:0.164	real:0.11
pred:0.000	real:0.02
pred:0.036	real:0.05
pred:0.009	real:0.01
pred:0.074	real:0.09
pred:0.018	real:0.05
pred:0.000	real:0.00
pred:0.053	real:0.02
pred:0.054	real:0.01
pred:0.004	real:0.00
pred:0.000	real:0.00
pred:0.009	real:0.00
pred:0.000	real:0.00
pred:0.000	real:0.00
acc:0.0969


pred:0.065	real:0.12
pred:0.375	real:0.15
pred:0.359	real:0.26
pred:0.054	real:0.07
pred:0.019	real:0.04
pred:0.011	real:0.03
pred:0.034	real:0.10
pred:0.000	real:0.04
pred:0.008	real:0.03
pred:0.010	real:0.01
pred:0.001	real:0.00
pred:0.012	real:0.04
pred:0.000	real:0.02
pred:0.133	real:0.06
pred:0.000	real:0.00
pred:0.009	real:0.00
pred:0.000	real:0.00
pred:0.009	real:0.00
pred:0.000	real:0.00
pred:0.000	real:0.00
acc:0.1265


pred:0.163	real:0.13
pred:0.135	real:0.14
pred:0.229	real:0.18
pred:0.105	real:0.08
pred:0.057	real:0.05
pred:0.038	real:0.05
pred:0.083	real:0.10
pred:0.063	real:0.03
pred:0.048	real:0.04
pred:0.000	real:0.01
pred:0.024	real:0.03
pred:0.061	real:0.04
pred:0.018	real:0.04
pred:0.104	real:0.05
pred:0.000	real:0.01
pred:0.008	real:0.00
pred:0.008	real:0.00
pred:0.025	real:0.02
pred:0.002	real:0.01
pred:0.003	real:0.00
acc:0.0782


pred:0.102	real:0.14
pred:0.204	real:0.14
pred:0.272	real:0.20
pred:0.092	real:0.08
pred:0.045	real:0.05
pred:0.035	real:0.04
pred:0.065	real:0.10
pred:0.034	real:0.03
pred:0.031	real:0.04
pred:0.009	real:0.01
pred:0.022	real:0.03
pred:0.033	real:0.04
pred:0.012	real:0.03
pred:0.088	real:0.05
pred:0.006	real:0.01
pred:0.000	real:0.00
pred:0.009	real:0.00
pred:0.003	real:0.01
pred:0.003	real:0.00
pred:0.002	real:0.00
acc:0.0880


