pred:0.12	real:0.21
pred:0.21	real:0.15
pred:0.26	real:0.13
pred:0.09	real:0.05
pred:0.06	real:0.07
pred:0.04	real:0.01
pred:0.09	real:0.11
pred:0.02	real:0.02
pred:0.04	real:0.05
pred:0.01	real:0.01
pred:0.07	real:0.09
pred:0.02	real:0.05
pred:0.01	real:0.00
pred:0.05	real:0.02
pred:0.01	real:0.01
pred:0.01	real:0.00
pred:0.01	real:0.00
pred:0.01	real:0.00
pred:0.00	real:0.00
pred:0.00	real:0.00
acc:0.0409


pred:0.10	real:0.12
pred:0.27	real:0.15
pred:0.34	real:0.26
pred:0.05	real:0.07
pred:0.03	real:0.04
pred:0.05	real:0.03
pred:0.06	real:0.10
pred:0.03	real:0.04
pred:0.03	real:0.03
pred:0.02	real:0.01
pred:0.00	real:0.00
pred:0.02	real:0.04
pred:0.01	real:0.02
pred:0.10	real:0.06
pred:0.02	real:0.00
pred:0.01	real:0.00
pred:0.01	real:0.00
pred:0.01	real:0.00
pred:0.00	real:0.00
pred:0.00	real:0.00
acc:0.0350


