pred:0.11	real:0.21
pred:0.20	real:0.15
pred:0.29	real:0.13
pred:0.08	real:0.05
pred:0.03	real:0.07
pred:0.07	real:0.01
pred:0.16	real:0.11
pred:-0.00	real:0.02
pred:0.04	real:0.05
pred:0.01	real:0.01
pred:0.07	real:0.09
pred:0.02	real:0.05
pred:-0.00	real:0.00
pred:0.05	real:0.02
pred:0.05	real:0.01
pred:0.00	real:0.00
pred:-0.01	real:0.00
pred:0.01	real:0.00
pred:-0.00	real:0.00
pred:0.00	real:0.00
acc:1.9430


pred:0.06	real:0.12
pred:0.38	real:0.15
pred:0.36	real:0.26
pred:0.05	real:0.07
pred:0.02	real:0.04
pred:0.01	real:0.03
pred:0.03	real:0.10
pred:-0.00	real:0.04
pred:0.01	real:0.03
pred:0.01	real:0.01
pred:0.00	real:0.00
pred:0.01	real:0.04
pred:-0.00	real:0.02
pred:0.13	real:0.06
pred:-0.00	real:0.00
pred:0.01	real:0.00
pred:-0.00	real:0.00
pred:0.01	real:0.00
pred:-0.00	real:0.00
pred:-0.00	real:0.00
acc:2.5338


pred:0.16	real:0.13
pred:0.14	real:0.14
pred:0.23	real:0.18
pred:0.10	real:0.08
pred:0.06	real:0.05
pred:0.04	real:0.05
pred:0.08	real:0.10
pred:0.06	real:0.03
pred:0.05	real:0.04
pred:-0.01	real:0.01
pred:0.02	real:0.03
pred:0.06	real:0.04
pred:0.02	real:0.04
pred:0.10	real:0.05
pred:-0.01	real:0.01
pred:0.01	real:0.00
pred:0.01	real:0.00
pred:0.03	real:0.02
pred:0.00	real:0.01
pred:0.00	real:0.00
acc:1.5749


pred:0.10	real:0.14
pred:0.20	real:0.14
pred:0.27	real:0.20
pred:0.09	real:0.08
pred:0.04	real:0.05
pred:0.04	real:0.04
pred:0.07	real:0.10
pred:0.03	real:0.03
pred:0.03	real:0.04
pred:0.01	real:0.01
pred:0.02	real:0.03
pred:0.03	real:0.04
pred:0.01	real:0.03
pred:0.09	real:0.05
pred:0.01	real:0.01
pred:-0.01	real:0.00
pred:0.01	real:0.00
pred:0.00	real:0.01
pred:0.00	real:0.00
pred:0.00	real:0.00
acc:1.7629


